Item,Category,Purpose,Cost_USD,Priority,Supplier,Notes
RTL-SDR V4,SDR,Satellite signal receive,30,Essential,rtl-sdr.com,"R828D tuner, 500kHz-1.766GHz, RX only"
HackRF One,SDR,Experimental transmit/receive,350,Phase 2,greatscottgadgets.com,"1MHz-6GHz, half-duplex, 20Msps"
USB OTG Adapter,Accessory,Connect SDR to Android phone,5,Essential,Amazon,"USB-C to USB-A OTG cable"
L-band Yagi Antenna,Antenna,Directional satellite receive,50,Essential,Arrow Antennas,"1-2GHz, ~10dBi gain"
UHF Yagi Antenna,Antenna,Amateur satellite TX/RX,80,Phase 2,Arrow Antennas,"400-500MHz, ~12dBi gain"
LoRa SX1276 Module,Radio,Mesh last-mile relay,10,Essential,AliExpress/Semtech,"137-1020MHz, LoRa modulation"
Heltec LoRa 32 V3,Dev Board,LoRa mesh development,25,Essential,Heltec,"ESP32-S3 + SX1276 + OLED display"
Raspberry Pi 4 4GB,Computer,Ground station relay node,80,Essential,raspberrypi.com,"ARMv8 Cortex-A72, 4GB RAM"
GPS Module (NEO-6M),Navigation,Ground station positioning,15,Essential,u-blox,"NMEA output, USB or UART"
32GB SD Card,Storage,RPi OS + data storage,10,Essential,SanDisk,"Class 10, A1 rated"
5V 3A USB-C PSU,Power,Raspberry Pi power supply,10,Essential,Official RPi,"Stable 5V, 3A output"
LNA (Low Noise Amp),RF,Improve weak signal reception,25,Phase 2,Nooelec/RTL-SDR,"SAWbird+ or similar, L/S-band"
Bandpass Filter 144MHz,RF,ISS APRS interference rejection,20,Phase 2,RTL-SDR Blog,"2m amateur band filter"
SMA Cables & Adapters,RF,Connect antenna to SDR,15,Essential,Amazon,"SMA-M to SMA-F, various lengths"
Weatherproof Enclosure,Housing,Outdoor ground station,30,Phase 2,Amazon,"IP65, fits RPi + SDR"
Solar Panel 20W,Power,Off-grid ground station,40,Phase 3,Amazon,"12V output for remote sites"
Amateur Radio License,License,Legal transmission authority,0,Essential,Local authority,"Free exam in most countries"

